507,234,436,138,102,283,790,833.0,35.0,874.0,861.0,747.0,573.0,67.0,395.0,453.0,551.0,,,,,,,,
264,129,580,794,481,854,850,537.0,549.0,963.0,206.0,754.0,110.0,876.0,522.0,762.0,152.0,915.0,959.0,654.0,552.0,26.0,,,
628,389,280,383,614,105,228,149.0,758.0,852.0,462.0,930.0,944.0,702.0,,,,,,,,,,,
541,193,568,311,662,51,122,669.0,863.0,65.0,744.0,,,,,,,,,,,,,,
626,158,644,576,322,620,164,967.0,55.0,328.0,123.0,912.0,324.0,609.0,115.0,70.0,,,,,,,,,
989,893,233,101,953,983,213,779.0,792.0,373.0,,,,,,,,,,,,,,,
19,238,648,272,10,281,632,217.0,539.0,710.0,223.0,742.0,527.0,178.0,257.0,188.0,,,,,,,,,
392,567,252,174,763,596,739,871.0,858.0,175.0,910.0,977.0,,,,,,,,,,,,,
589,242,485,441,885,292,326,314.0,612.0,869.0,54.0,240.0,587.0,378.0,459.0,,,,,,,,,,
797,948,860,479,27,736,961,502.0,25.0,246.0,781.0,791.0,377.0,706.0,372.0,,,,,,,,,,
302,362,621,419,455,623,724,82.0,752.0,199.0,330.0,219.0,254.0,386.0,,,,,,,,,,,
483,832,496,786,992,370,45,803.0,663.0,442.0,777.0,489.0,542.0,154.0,189.0,746.0,221.0,592.0,805.0,972.0,709.0,774.0,,,
226,255,582,310,686,309,500,387.0,976.0,492.0,312.0,190.0,826.0,113.0,57.0,124.0,23.0,106.0,616.0,510.0,159.0,,,,
308,79,3,208,429,955,822,108.0,156.0,545.0,132.0,653.0,942.0,981.0,185.0,,,,,,,,,,
598,487,923,426,827,575,143,432.0,87.0,142.0,261.0,824.0,43.0,804.0,,,,,,,,,,,
34,374,870,145,133,637,235,116.0,119.0,253.0,990.0,239.0,203.0,954.0,169.0,457.0,458.0,630.0,329.0,733.0,,,,,
908,49,88,729,917,524,635,30.0,95.0,907.0,909.0,267.0,390.0,834.0,7.0,31.0,21.0,,,,,,,,
843,951,296,179,345,914,962,397.0,153.0,884.0,,,,,,,,,,,,,,,
837,651,90,642,818,60,574,183.0,811.0,619.0,813.0,819.0,685.0,83.0,634.0,20.0,194.0,946.0,72.0,938.0,680.0,932.0,,,
275,250,518,331,566,965,415,857.0,11.0,289.0,719.0,467.0,538.0,347.0,220.0,46.0,783.0,349.0,704.0,808.0,,,,,
671,350,525,476,664,665,726,563.0,8.0,128.0,,,,,,,,,,,,,,,
398,222,812,840,141,342,956,659.0,921.0,890.0,848.0,590.0,293.0,112.0,547.0,121.0,897.0,160.0,,,,,,,
782,767,844,968,406,980,868,184.0,285.0,569.0,2.0,730.0,201.0,382.0,354.0,,,,,,,,,,
859,867,760,56,689,323,886,957.0,294.0,920.0,286.0,,,,,,,,,,,,,,
256,490,516,544,700,343,562,414.0,434.0,901.0,720.0,,,,,,,,,,,,,,
966,167,433,401,182,98,927,528.0,456.0,718.0,396.0,360.0,376.0,699.0,997.0,,,,,,,,,,
68,454,677,139,64,300,447,535.0,579.0,263.0,750.0,825.0,878.0,,,,,,,,,,,,
864,641,265,513,652,195,388,715.0,320.0,697.0,875.0,15.0,399.0,974.0,855.0,759.0,732.0,,,,,,,,
14,224,445,517,486,694,480,301.0,645.0,,,,,,,,,,,,,,,,
367,828,866,658,617,879,737,439.0,468.0,230.0,231.0,50.0,332.0,337.0,402.0,931.0,484.0,171.0,606.0,444.0,168.0,269.0,170.0,6.0,515.0
76,196,572,358,61,150,97,96.0,624.0,753.0,499.0,13.0,348.0,,,,,,,,,,,,
